"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"194","19043","DEL4","Amazon Del 4 (All phase)","Gurgaon","rooftop","1350.3","...","...","...","..."
"195","19044","GRE","GREAVES COTTON","AURANGABAD","rooftop","1201.56","...","...","...","..."
"196","19045","DEL5","Amazon Del 5 (Overall)","Gurgaon","rooftop","1748.5","...","...","...","..."
"197","19046","Khanak","Neo","Bhiwani","ground","75009","...","...","...","..."
"198","19047","UTCL Dhar","UltraTech Cement Limited Dhar","DHAR","ground","15006","...","...","...","..."
"199","19048","TVS_N_Ex","TVS Nalagarh Ext","Nalagarh","rooftop","970.38","...","...","...","..."
"200","19050","MAX EXT","Max Speciality Films Ext","S. B. S. NAGAR","rooftop","1482","...","...","...","..."
"201","19052","DCB","Decathlon Anubhava Bangalore","Bangalore","rooftop","212.55","...","...","...","..."
"202","19053","DCNL","Decathlon Nolambur","Chennai","rooftop","174.2","...","...","...","..."
"203","19054","AJP","Ajanta Pharma","Guwahati","rooftop","701.24","...","...","...","..."
"204","19055","GATE","Gateway Rail","Faridabad","rooftop","432.25","...","...","...","..."
"205","19056","SAGE-B","Sage Metals - Bawal","Bawal","rooftop","462.4","...","...","...","..."
"206","19057","SAGE","Sage Metals - Faridabad","Faridabad","rooftop","149.6","...","...","...","..."
"207","19058","HALDIS","Haldiram Kolkata","Kolkata","rooftop","455","...","...","...","..."
"208","19059","SAGE7","Sage Metals Unit 7 Sahibabad","Ghaziabad","rooftop","130","...","...","...","..."
"209","19060","SAGES","Sage Metals  Unit 8 Sahibabad","Ghaziabad","rooftop","211.2","...","...","...","..."
"210","19061","DCN","Decathlon Nashik","Nashik","rooftop","65","...","...","...","..."
"211","19062","DCC","Decathlon Calicut","Kozhikode","rooftop","33.15","...","...","...","..."
"212","19064","HTR","HT Media Ranchi","Ranchi","rooftop","143","...","...","...","..."
"213","19065","HTM","HT Media Mohali","Mohali","rooftop","117","...","...","...","..."
"214","19066","HTP","HT Media Patna","Patna","rooftop","311.68","...","...","...","..."
"215","19068","MINDA","Minda Silca","Greater Noida","rooftop","244.8","...","...","...","..."
"216","19069","SDDPL","Schreiber Pune","Pune","rooftop","1766.95","...","...","...","..."
"217","19070","MPGI","Maharana Pratap Group of Institutions","Kanpur","rooftop","130","...","...","...","..."
