"S.N.","Code","Abbr","Name","City","Mount Type","Capacity (kWp)","Day Generation (kWh)","Day Yield (kWh/kWp)","Day Est. Irradiation (kWh/m²)","Performance Ratio (%)"
"629","23150","EFD I Pvt.ltd, Bengaluru, P-2","EFD Induction Pvt Ltd, Bengaluru, Phase-II","Bangalore Rural","rooftop","139.7","...","...","...","..."
"630","88888","EMP1","Dubai load plant","Amoli","rooftop","0","...","...","...","..."
"631","90001","MLSU","Mirza_Load (Subros Limited B 188)","Noida","rooftop","0","...","...","...","..."
"632","90002","MLSU","Mirza_Load (DS Limited, Greater Noida)","Noida","rooftop","0","...","...","...","..."
"633","90003","MLSU","Mirza_Load (DS Limited -Sec-67 Noida)","Noida","rooftop","0","...","...","...","..."
"634","90004","MLSU","Mirza_Load (Sandarbh Foods , Sec-67 Noida )","Noida","rooftop","0","...","...","...","..."
"635","90005","MLSU","Mirza_Load (Adobe System, Sec-132 )","Noida","rooftop","0","...","...","...","..."
"636","90006","MLSU","Mirza_Load (Adobe System -Sec-25a )","Noida","rooftop","0","...","...","...","..."
"637","90008","MLSU","Mirza_Load (Moon Beverages Limited )","Noida","rooftop","0","...","...","...","..."
"638","90009","MLSU","Mirza_Load (Subros Limited B 216 )","Noida","rooftop","0","...","...","...","..."
"639","98765","DP","Demo Plant","Gurugram","rooftop","313","...","...","...","..."
"640","98766","Demo_1","Demo_1","Gurgaon","ground","400","...","...","...","..."
"641","98767","IREC","IREC Trade","Gurgaon","rooftop","0","...","...","...","..."
